source,target,weight
/index.html,/faq.html,8
/index.html,/articles.html,3
/index.html,/contact.html,6
/index.html,/about.html,12
/index.html,/products.html,12
/index.html,/cart.html,5
/index.html,/pages/products/flow-guard-mini.html,2
/index.html,/pages/products/aqua-sense-pro.html,8
/index.html,/index.html,1
/index.html,/pages/articles/designing-websites-for-behavioral-security-research.html,106
/index.html,/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,2
/faq.html,/articles.html,2
/faq.html,/index.html,12
/faq.html,/contact.html,2
/faq.html,/products.html,2
/faq.html,/faq.html,3
/faq.html,/hidden/diagnostic-offer.html,104
/articles.html,/contact.html,2
/articles.html,/products.html,2
/articles.html,/index.html,6
/articles.html,/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,2
/articles.html,/about.html,3
/articles.html,/pages/articles/designing-websites-for-behavioral-security-research.html,5
/articles.html,/pages/articles/honeypots-in-modern-web-applications.html,2
/articles.html,/faq.html,2
/articles.html,/cart.html,88
/articles.html,/articles.html,19
/articles.html,/hidden/diagnostic-offer.html,6
/contact.html,/about.html,8
/contact.html,/contact.html,8
/contact.html,/cart.html,3
/contact.html,/products.html,2
/contact.html,/articles.html,2
/contact.html,/faq.html,104
/about.html,/products.html,2
/about.html,/index.html,6
/about.html,/about.html,12
/about.html,/articles.html,81
/about.html,/pages/articles/designing-websites-for-behavioral-security-research.html,1
/about.html,/contact.html,3
/about.html,/cart.html,6
/about.html,/hidden/diagnostic-offer.html,4
/products.html,/articles.html,22
/products.html,/about.html,10
/products.html,/contact.html,12
/products.html,/index.html,6
/products.html,/faq.html,6
/products.html,/cart.html,8
/products.html,/hidden/diagnostic-offer.html,18
/products.html,/products.html,9
/products.html,/pages/articles/designing-websites-for-behavioral-security-research.html,4
/products.html,/pages/articles/honeypots-in-modern-web-applications.html,4
/products.html,/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,4
/products.html,/pages/products/flow-guard-mini.html,4
/products.html,/pages/products/aqua-sense-pro.html,2
/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,/articles.html,4
/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,/pages/articles/honeypots-in-modern-web-applications.html,122
/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,/hidden/diagnostic-offer.html,2
/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,8
/pages/articles/designing-websites-for-behavioral-security-research.html,/about.html,1
/pages/articles/designing-websites-for-behavioral-security-research.html,/pages/products/hydra-node-x.html,2
/pages/articles/designing-websites-for-behavioral-security-research.html,/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,120
/pages/articles/designing-websites-for-behavioral-security-research.html,/pages/products/aqua-sense-pro.html,2
/pages/articles/designing-websites-for-behavioral-security-research.html,/pages/articles/designing-websites-for-behavioral-security-research.html,10
/cart.html,/index.html,4
/cart.html,/pages/products/flow-guard-mini.html,2
/cart.html,/cart.html,10
/cart.html,/products.html,2
/cart.html,/faq.html,2
/cart.html,/articles.html,2
/cart.html,/contact.html,96
/cart.html,/hidden/diagnostic-offer.html,2
/pages/articles/honeypots-in-modern-web-applications.html,/pages/articles/honeypots-in-modern-web-applications.html,9
/pages/articles/honeypots-in-modern-web-applications.html,/pages/products/hydra-node-x.html,2
/pages/articles/honeypots-in-modern-web-applications.html,/pages/products/puremesh-filter.html,3
/pages/articles/honeypots-in-modern-web-applications.html,/pages/products/aqua-sense-pro.html,118
/pages/articles/honeypots-in-modern-web-applications.html,/hidden/diagnostic-offer.html,4
/pages/articles/honeypots-in-modern-web-applications.html,/about.html,2
/pages/products/hydra-node-x.html,/pages/products/puremesh-filter.html,109
/pages/products/hydra-node-x.html,/pages/articles/honeypots-in-modern-web-applications.html,1
/pages/products/hydra-node-x.html,/products.html,8
/pages/products/hydra-node-x.html,/pages/articles/designing-websites-for-behavioral-security-research.html,2
/pages/products/hydra-node-x.html,/hidden/diagnostic-offer.html,6
/pages/products/hydra-node-x.html,/pages/products/hydra-node-x.html,8
/pages/products/puremesh-filter.html,/pages/products/river-vision-cam.html,108
/pages/products/puremesh-filter.html,/hidden/diagnostic-offer.html,4
/pages/products/puremesh-filter.html,/pages/products/puremesh-filter.html,11
/pages/products/flow-guard-mini.html,/cart.html,6
/pages/products/flow-guard-mini.html,/pages/products/hydra-node-x.html,112
/pages/products/flow-guard-mini.html,/hidden/diagnostic-offer.html,4
/pages/products/flow-guard-mini.html,/pages/products/flow-guard-mini.html,7
/pages/products/flow-guard-mini.html,/about.html,4
/pages/products/aqua-sense-pro.html,/pages/products/hydra-node-x.html,2
/pages/products/aqua-sense-pro.html,/products.html,2
/pages/products/aqua-sense-pro.html,/pages/products/flow-guard-mini.html,116
/pages/products/aqua-sense-pro.html,/hidden/diagnostic-offer.html,6
/pages/products/aqua-sense-pro.html,/pages/products/aqua-sense-pro.html,9
/hidden/diagnostic-offer.html,/hidden/diagnostic-offer.html,5
/hidden/diagnostic-offer.html,/pages/articles/designing-websites-for-behavioral-security-research.html,10
/hidden/diagnostic-offer.html,/pages/products/river-vision-cam.html,4
/hidden/diagnostic-offer.html,/index.html,106
/hidden/diagnostic-offer.html,/pages/products/hydra-node-x.html,10
/hidden/diagnostic-offer.html,/pages/products/flow-guard-mini.html,4
/hidden/diagnostic-offer.html,/pages/products/puremesh-filter.html,6
/hidden/diagnostic-offer.html,/pages/articles/honeypots-in-modern-web-applications.html,2
/hidden/diagnostic-offer.html,/pages/articles/early-bot-detection-why-navigation-patterns-matter.html,2
/hidden/diagnostic-offer.html,/products.html,4
/pages/products/river-vision-cam.html,/products.html,98
/pages/products/river-vision-cam.html,/pages/articles/designing-websites-for-behavioral-security-research.html,2
/pages/products/river-vision-cam.html,/pages/products/river-vision-cam.html,11
/pages/products/river-vision-cam.html,/articles.html,2
/pages/products/river-vision-cam.html,/hidden/diagnostic-offer.html,6
